sku_number,sku_description,department,promotion_name,promo_demand_source_quality_repaired,long_tail_sku_flag,basket_completion_sku_flag,basket_3plus_attachment_rate,long_tail_stockout_risk_score,long_tail_protection_value,data_fix_required
195355,0.0,SKINCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
196550,0.0,SKINCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
196577,0.0,BEAUTY ACCESSORIES,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
197259,0.0,VITAMIN SUPPLEMENT,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
198880,0.0,SKINCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
199739,0.0,SKINCARE,unknown,UNSAFE,YES,NO,UNKNOWN,70.0,0.0,Need basket attachment evidence
22488,0.0,SKINCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
242845,0.0,SKINCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
296597,0.0,EYES EARS,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
360759,0.0,SKINCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
428868,0.0,ALLERGY,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
43426,0.0,SKINCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
44972,0.0,BATH TOILETRIES,unknown,UNSAFE,YES,NO,UNKNOWN,70.0,0.0,Need basket attachment evidence
44974,0.0,BATH TOILETRIES,unknown,UNSAFE,YES,NO,UNKNOWN,70.0,0.0,Need basket attachment evidence
472581,0.0,SKINCARE,unknown,UNSAFE,YES,NO,UNKNOWN,70.0,0.0,Need basket attachment evidence
50382,0.0,SKINCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
55493,0.0,SKINCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
56278,0.0,SKINCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
65606,0.0,SKINCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
65635,0.0,SKINCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
65837,0.0,SKINCARE,unknown,UNSAFE,YES,NO,UNKNOWN,70.0,0.0,Need basket attachment evidence
668664,0.0,SKINCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
701580,0.0,BATH TOILETRIES,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
72014,0.0,SKINCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
735078,0.0,SKINCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
74617,0.0,SKINCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
818895,0.0,SKINCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
87418,0.0,SKINCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
87463,0.0,SKINCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
88083,0.0,SKINCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
88517,0.0,SKINCARE,unknown,UNSAFE,YES,NO,UNKNOWN,70.0,0.0,Need basket attachment evidence
88521,0.0,SKINCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
90014,0.0,SKINCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
90543,0.0,SKINCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
90772,0.0,SKINCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
90841,0.0,SKINCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
90935,0.0,SKINCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
91164,0.0,ORAL HEALTH,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
91165,0.0,ORAL HEALTH,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
91474,0.0,HAIRCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
92174,0.0,COLOUR COSMETICS,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
92213,0.0,SKINCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
92214,0.0,SKINCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
92333,0.0,SKINCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
92848,0.0,SKINCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
93399,0.0,FRAGRANCE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
94032,0.0,COLOUR COSMETICS,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
94039,0.0,SKINCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
94559,0.0,SKINCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
94854,0.0,SKINCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
186778,0.0,COLOUR COSMETICS,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
187276,0.0,SKINCARE,unknown,UNSAFE,YES,NO,UNKNOWN,70.0,0.0,Need basket attachment evidence
190317,0.0,HAIR ACC BRUSHES,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
196625,0.0,BEAUTY ACCESSORIES,unknown,UNSAFE,YES,NO,UNKNOWN,70.0,0.0,Need basket attachment evidence
196626,0.0,BEAUTY ACCESSORIES,unknown,UNSAFE,YES,NO,UNKNOWN,70.0,0.0,Need basket attachment evidence
199069,0.0,COLOUR COSMETICS,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
28874,0.0,COLOUR COSMETICS,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
37397,0.0,BEAUTY ACCESSORIES,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
43897,0.0,HAIRCARE,unknown,UNSAFE,YES,NO,UNKNOWN,70.0,0.0,Need basket attachment evidence
57561,0.0,HAIRCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
638411,0.0,TANNING,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
64519,0.0,HAIRCARE,unknown,UNSAFE,YES,NO,UNKNOWN,70.0,0.0,Need basket attachment evidence
65635,0.0,SKINCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
66491,0.0,COLOUR COSMETICS,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
67025,0.0,TANNING,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
687855,0.0,SUNCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
88871,0.0,HAIRCARE,unknown,UNSAFE,YES,NO,UNKNOWN,70.0,0.0,Need basket attachment evidence
91249,0.0,HAIRCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
92331,0.0,SKINCARE,unknown,HIGH,YES,NO,UNKNOWN,70.0,0.0,Need basket attachment evidence
92836,0.0,COLOUR COSMETICS,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
95236,0.0,COLOUR COSMETICS,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
95633,0.0,COLOUR COSMETICS,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
95643,0.0,COLOUR COSMETICS,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
27193,0.0,SUNCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
655050,0.0,SKINCARE,unknown,HIGH,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
192819,0.0,ORAL HEALTH,unknown,UNSAFE,YES,NO,UNKNOWN,70.0,0.0,Need basket attachment evidence
198027,0.0,DEODORANTS,unknown,UNSAFE,YES,NO,UNKNOWN,70.0,0.0,Need basket attachment evidence
198028,0.0,DEODORANTS,unknown,UNSAFE,YES,NO,UNKNOWN,70.0,0.0,Need basket attachment evidence
198029,0.0,DEODORANTS,unknown,UNSAFE,YES,NO,UNKNOWN,70.0,0.0,Need basket attachment evidence
277908,0.0,HAIRCARE,unknown,UNSAFE,YES,NO,UNKNOWN,70.0,0.0,Need basket attachment evidence
42436,0.0,ORAL HEALTH,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
5836,0.0,HAIRCARE,unknown,UNSAFE,YES,NO,UNKNOWN,70.0,0.0,Need basket attachment evidence
588,0.0,SKINCARE,unknown,UNSAFE,YES,NO,UNKNOWN,70.0,0.0,Need basket attachment evidence
59885,0.0,SKINCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
60862,0.0,HAIR REMOVAL,unknown,UNSAFE,YES,NO,UNKNOWN,70.0,0.0,Need basket attachment evidence
64519,0.0,HAIRCARE,unknown,UNSAFE,YES,NO,UNKNOWN,70.0,0.0,Need basket attachment evidence
67862,0.0,HAIRCARE,unknown,UNSAFE,YES,NO,UNKNOWN,70.0,0.0,Need basket attachment evidence
91149,0.0,ORAL HEALTH,unknown,UNSAFE,YES,NO,UNKNOWN,70.0,0.0,Need basket attachment evidence
93464,0.0,HAIR REMOVAL,unknown,UNSAFE,YES,NO,UNKNOWN,70.0,0.0,Need basket attachment evidence
94034,0.0,HAIRCARE,unknown,UNSAFE,YES,NO,UNKNOWN,70.0,0.0,Need basket attachment evidence
11859,0.0,SKINCARE,unknown,HIGH,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
12005,0.0,SKINCARE,unknown,HIGH,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
12757,0.0,BEAUTY ACCESSORIES,unknown,UNSAFE,YES,NO,UNKNOWN,70.0,0.0,Need basket attachment evidence
17182,0.0,SUNCARE,unknown,HIGH,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
185542,0.0,VITAMIN SUPPLEMENT,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
189739,0.0,ORAL HEALTH,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
190207,0.0,HAIR ACC BRUSHES,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
191065,0.0,VITAMIN SUPPLEMENT,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
192203,0.0,SKINCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
192493,0.0,COLOUR COSMETICS,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
192586,0.0,COLOUR COSMETICS,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
194147,0.0,COLOUR COSMETICS,unknown,UNSAFE,YES,NO,UNKNOWN,70.0,0.0,Need basket attachment evidence
194771,0.0,VITAMIN SUPPLEMENT,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
195440,0.0,COLOUR COSMETICS,unknown,HIGH,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
196405,0.0,FRAGRANCE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
197697,0.0,DEODORANTS,unknown,HIGH,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
19847,0.0,VITAMIN SUPPLEMENT,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
199184,0.0,MENS GROOMING,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
22069,0.0,VITAMIN SUPPLEMENT,unknown,UNSAFE,YES,NO,UNKNOWN,70.0,0.0,Need basket attachment evidence
22483,0.0,SKINCARE,unknown,HIGH,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
244619,0.0,FEMININE CARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
246476,0.0,COUGH COLD,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
327611,0.0,SKINCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
342483,0.0,DEODORANTS,unknown,HIGH,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
356697,0.0,HAIR REMOVAL,unknown,HIGH,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
38584,0.0,COLOUR COSMETICS,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
39202,0.0,HAIRCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
39621,0.0,BEAUTY ACCESSORIES,unknown,UNSAFE,YES,NO,UNKNOWN,70.0,0.0,Need basket attachment evidence
39920,0.0,VITAMIN SUPPLEMENT,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
43053,0.0,COLOUR COSMETICS,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
4759,0.0,FRAGRANCE,unknown,HIGH,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
483796,0.0,SKINCARE,unknown,HIGH,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
49933,0.0,BEAUTY ACCESSORIES,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
519480,0.0,SUNCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
54088,0.0,FRAGRANCE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
54896,0.0,SUNCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
58227,0.0,HAIRCARE,unknown,HIGH,YES,NO,UNKNOWN,70.0,0.0,Need basket attachment evidence
60840,0.0,COLOUR COSMETICS,unknown,HIGH,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
60843,0.0,COLOUR COSMETICS,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
618694,0.0,COLOUR COSMETICS,unknown,UNSAFE,YES,NO,UNKNOWN,70.0,0.0,Need basket attachment evidence
63159,0.0,VITAMIN SUPPLEMENT,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
64550,0.0,VITAMIN SUPPLEMENT,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
653709,0.0,VITAMIN SUPPLEMENT,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
67951,0.0,BEAUTY ELECTRICAL,unknown,UNSAFE,YES,NO,UNKNOWN,70.0,0.0,Need basket attachment evidence
69795,0.0,VITAMIN SUPPLEMENT,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
89093,0.0,DIGESTIVE CARE,unknown,UNSAFE,YES,NO,UNKNOWN,70.0,0.0,Need basket attachment evidence
90153,0.0,COLOUR COSMETICS,unknown,HIGH,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
90321,0.0,HAIRCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
90915,0.0,SKINCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
91533,0.0,HAIRCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
91536,0.0,HAIRCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
92385,0.0,BEAUTY ACCESSORIES,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
93563,0.0,VITAMIN SUPPLEMENT,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
93599,0.0,COLOUR COSMETICS,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
93601,0.0,COLOUR COSMETICS,unknown,HIGH,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
93984,0.0,COLOUR COSMETICS,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
94065,0.0,COLOUR COSMETICS,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
94218,0.0,SKINCARE,unknown,HIGH,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
95277,0.0,VITAMIN SUPPLEMENT,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
95278,0.0,VITAMIN SUPPLEMENT,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
95644,0.0,COLOUR COSMETICS,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
11607,0.0,SKINCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
15220,0.0,SUNCARE,unknown,HIGH,YES,NO,UNKNOWN,70.0,0.0,Need basket attachment evidence
190066,0.0,BEAUTY ACCESSORIES,unknown,HIGH,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
190068,0.0,BEAUTY ACCESSORIES,unknown,HIGH,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
190091,0.0,BEAUTY ACCESSORIES,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
190098,0.0,BEAUTY ACCESSORIES,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
190277,0.0,HAIR ACC BRUSHES,unknown,HIGH,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
190282,0.0,HAIR ACC BRUSHES,unknown,HIGH,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
190287,0.0,HAIR ACC BRUSHES,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
190291,0.0,HAIR ACC BRUSHES,unknown,HIGH,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
190292,0.0,HAIR ACC BRUSHES,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
191288,0.0,FEMININE CARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
192356,0.0,BEAUTY ELECTRICAL,unknown,HIGH,YES,NO,UNKNOWN,70.0,0.0,Need basket attachment evidence
193031,0.0,ORAL HEALTH,unknown,HIGH,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
193218,0.0,COLOUR COSMETICS,unknown,HIGH,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
194012,0.0,SKINCARE,unknown,HIGH,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
194018,0.0,SKINCARE,unknown,HIGH,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
197208,0.0,BEAUTY ACCESSORIES,unknown,HIGH,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
197367,0.0,HAIR ACC BRUSHES,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
197882,0.0,COLOUR COSMETICS,unknown,HIGH,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
198667,0.0,SUNCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
198762,0.0,COLOUR COSMETICS,unknown,HIGH,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
198978,0.0,COLOUR COSMETICS,unknown,HIGH,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
241776,0.0,ACHE PAIN SUPPORT,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
25327,0.0,HAIRCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
267575,0.0,FRAGRANCE,unknown,HIGH,YES,NO,UNKNOWN,70.0,0.0,Need basket attachment evidence
280607,0.0,DEODORANTS,unknown,HIGH,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
28180,0.0,SKINCARE,unknown,UNSAFE,YES,NO,UNKNOWN,70.0,0.0,Need basket attachment evidence
282278,0.0,INCONTINENCE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
330442,0.0,HAIRCARE,unknown,HIGH,YES,NO,UNKNOWN,70.0,0.0,Need basket attachment evidence
346268,0.0,DEODORANTS,unknown,HIGH,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
359289,0.0,FOOTCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
43540,0.0,SKINCARE,unknown,HIGH,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
46807,0.0,COLOUR COSMETICS,unknown,HIGH,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
49493,0.0,BATH TOILETRIES,unknown,HIGH,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
496316,0.0,HAIRCARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
54801,0.0,VITAMIN SUPPLEMENT,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
55365,0.0,COLOUR COSMETICS,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
581135,0.0,ACHE PAIN SUPPORT,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
58978,0.0,SUNCARE,unknown,HIGH,YES,NO,UNKNOWN,70.0,0.0,Need basket attachment evidence
604879,0.0,DIGESTIVE CARE,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
60862,0.0,HAIR REMOVAL,unknown,HIGH,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
62718,0.0,COLOUR COSMETICS,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
638437,0.0,TANNING,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
654191,0.0,COUGH COLD,unknown,UNSAFE,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
66881,0.0,COLOUR COSMETICS,unknown,HIGH,NO,NO,UNKNOWN,70.0,0.0,Verify long-tail SOH
