source_file,column_name,inferred_meaning,commercial_value_score_0_5,store_facing_candidate_yes_no,audit_only_yes_no,rename_required_yes_no,proposed_clean_name,notes
manager_summary,do_not_buy_count,technical/derived field,3,no,no,no,do_not_buy_count,
manager_summary,skus_with_stock_gap_before_launch,technical/derived field,5,no,no,no,skus_with_stock_gap_before_launch,
manager_summary,total_stock_gap_units_before_launch,technical/derived field,5,no,yes,no,total_stock_gap_units_before_launch,
manager_summary,total_recommended_order_units,Sum of order units across SKUs,5,no,yes,no,total_recommended_order_units,
manager_summary,total_projected_pre_promo_sales_units,Sum pre-promo demand,4,no,yes,no,total_projected_pre_promo_sales_units,
manager_summary,total_projected_first_7_days_units,technical/derived field,3,no,yes,no,total_projected_first_7_days_units,
manager_summary,promotion_period_days,Length of promotion in days,4,no,no,no,promotion_period_days,
manager_summary,total_expected_units_per_period,Manager total promo-period demand,4,no,yes,no,total_expected_units_per_period,
manager_summary,average_expected_units_per_day,technical/derived field,3,no,no,no,average_expected_units_per_day,
manager_summary,total_target_end_stock_units,technical/derived field,3,no,yes,no,total_target_end_stock_units,
manager_summary,total_units_needed_for_trust_floor,technical/derived field,3,no,yes,no,total_units_needed_for_trust_floor,
manager_summary,total_units_needed_for_high_demand_cover,technical/derived field,3,no,yes,no,total_units_needed_for_high_demand_cover,
manager_summary,total_units_above_trust_target,technical/derived field,3,no,yes,no,total_units_above_trust_target,
manager_summary,total_capital_tied_above_trust_target,technical/derived field,3,no,yes,no,total_capital_tied_above_trust_target,
manager_summary,total_expected_gp_on_trust_floor_units,technical/derived field,3,no,yes,no,total_expected_gp_on_trust_floor_units,
manager_summary,total_expected_gp_on_speculative_units,technical/derived field,3,no,yes,no,total_expected_gp_on_speculative_units,
manager_summary,total_risk_adjusted_value_of_speculative_units,technical/derived field,3,no,yes,no,total_risk_adjusted_value_of_speculative_units,
manager_summary,cashflow_runoff_status,technical/derived field,3,no,no,no,cashflow_runoff_status,
manager_summary,trust_floor_status,technical/derived field,3,no,no,no,trust_floor_status,
manager_summary,total_speculative_capital_above_floor_units,technical/derived field,3,no,yes,no,total_speculative_capital_above_floor_units,
manager_summary,total_speculative_capital_above_floor_value,technical/derived field,3,no,yes,no,total_speculative_capital_above_floor_value,
manager_summary,total_projected_promo_units,technical/derived field,3,no,yes,no,total_projected_promo_units,
manager_summary,total_expected_units_total_promo,technical/derived field,3,no,yes,no,total_expected_units_total_promo,
manager_summary,total_estimated_leftover_cost_dollars,technical/derived field,3,no,yes,no,total_estimated_leftover_cost_dollars,
manager_summary,total_capital_at_risk_adjusted_dollars,technical/derived field,3,no,yes,no,total_capital_at_risk_adjusted_dollars,
manager_summary,total_capital_at_risk_dollars,technical/derived field,3,no,yes,no,total_capital_at_risk_dollars,
manager_summary,total_risk_adjusted_capital_at_risk_dollars,technical/derived field,3,no,yes,no,total_risk_adjusted_capital_at_risk_dollars,
manager_summary,discount_percent_summary,technical/derived field,3,no,no,no,discount_percent_summary,
manager_summary,average_risk_reward_ratio,technical/derived field,3,no,no,no,average_risk_reward_ratio,
manager_summary,lead_days_to_next_action,technical/derived field,3,no,no,no,lead_days_to_next_action,
manager_summary,most_urgent_skus,technical/derived field,3,no,no,no,most_urgent_skus,
manager_summary,top_priority_skus,technical/derived field,3,no,no,no,top_priority_skus,
operator_audit,priority_rank,SKU priority within promotion,2,no,no,no,priority_rank,
operator_audit,priority_band,Priority tier label,2,no,no,no,priority_band,
operator_audit,sku_number,Product SKU identifier,2,no,no,no,sku_number,
operator_audit,sku_description,Product description,2,no,no,no,sku_description,
operator_audit,operator_decision,Human/operator decision label,2,no,no,no,operator_decision,
operator_audit,operator_action,Recommended store action BUY/HOLD/REVIEW,2,no,no,no,operator_action,
operator_audit,order_units,Final recommended order quantity,5,no,no,no,order_units,
operator_audit,reason_short,Compressed action reason,2,no,no,no,reason_short,
operator_audit,risk_flag,technical/derived field,2,no,no,no,risk_flag,
operator_audit,review_flag,technical/derived field,2,no,no,no,review_flag,
operator_audit,audit_notes,technical/derived field,2,no,no,no,audit_notes,
operator_audit,store_action_label,technical/derived field,2,no,no,no,store_action_label,
operator_audit,store_action_label_v2,technical/derived field,2,no,no,no,store_action_label_v2,
operator_audit,store_action_reason,technical/derived field,2,no,no,no,store_action_reason,
operator_audit,store_action,technical/derived field,2,no,no,no,store_action,
operator_audit,operator_status,technical/derived field,2,no,no,no,operator_status,
operator_audit,recommended_action,technical/derived field,2,no,no,no,recommended_action,
operator_audit,execution_readiness_status,technical/derived field,2,no,no,no,execution_readiness_status,
operator_audit,demand_evidence_label,technical/derived field,2,no,no,no,demand_evidence_label,
operator_audit,availability_risk_label,technical/derived field,2,no,no,no,availability_risk_label,
operator_audit,capital_drag_label,technical/derived field,2,no,no,no,capital_drag_label,
operator_audit,primary_review_reason,technical/derived field,2,no,no,no,primary_review_reason,
operator_audit,blocker_reason,technical/derived field,2,no,no,no,blocker_reason,
operator_audit,human_review_required_flag,technical/derived field,2,no,no,no,human_review_required_flag,
operator_audit,low_nonzero_value_relief_delta,technical/derived field,2,no,no,no,low_nonzero_value_relief_delta,
operator_audit,raw_model_order_units,technical/derived field,5,no,no,no,raw_model_order_units,
operator_audit,provisional_review_order_units,technical/derived field,5,no,no,no,provisional_review_order_units,
operator_audit,final_store_order_units,technical/derived field,5,no,no,no,final_store_order_units,
operator_audit,raw_model_order_value,technical/derived field,2,no,no,no,raw_model_order_value,
operator_audit,provisional_review_order_value,technical/derived field,2,no,no,no,provisional_review_order_value,
operator_audit,final_store_order_value,technical/derived field,2,no,no,no,final_store_order_value,
operator_audit,low_soh_policy_version,technical/derived field,2,no,no,no,low_soh_policy_version,
operator_audit,low_soh_policy_candidate_flag,technical/derived field,2,no,no,no,low_soh_policy_candidate_flag,
operator_audit,low_soh_policy_production_eligible_flag,technical/derived field,2,no,no,no,low_soh_policy_production_eligible_flag,
operator_audit,low_soh_policy_final_order_units,technical/derived field,5,no,no,no,low_soh_policy_final_order_units,
operator_audit,low_soh_policy_shadow_order_units,technical/derived field,5,no,no,no,low_soh_policy_shadow_order_units,
operator_audit,low_soh_policy_capital_at_risk,technical/derived field,2,no,no,no,low_soh_policy_capital_at_risk,
operator_audit,low_soh_policy_reason,technical/derived field,2,no,no,no,low_soh_policy_reason,
operator_audit,low_soh_policy_guardrail_status,technical/derived field,2,no,no,no,low_soh_policy_guardrail_status,
operator_audit,low_soh_policy_blocker_reason,technical/derived field,2,no,no,no,low_soh_policy_blocker_reason,
operator_audit,low_soh_policy_decision_source,technical/derived field,2,no,no,no,low_soh_policy_decision_source,
operator_audit,shadow_policy_name,technical/derived field,2,no,no,no,shadow_policy_name,
operator_audit,shadow_policy_version,technical/derived field,2,no,no,no,shadow_policy_version,
operator_audit,shadow_policy_candidate_flag,technical/derived field,2,no,no,no,shadow_policy_candidate_flag,
operator_audit,shadow_policy_segment,technical/derived field,2,no,no,no,shadow_policy_segment,
operator_audit,shadow_policy_order_units,technical/derived field,5,no,no,no,shadow_policy_order_units,
operator_audit,shadow_policy_capital_at_risk,technical/derived field,2,no,no,no,shadow_policy_capital_at_risk,
operator_audit,shadow_policy_expected_reason,technical/derived field,2,no,no,no,shadow_policy_expected_reason,
operator_audit,shadow_policy_guardrail_status,technical/derived field,2,no,no,no,shadow_policy_guardrail_status,
operator_audit,shadow_policy_blocker_reason,technical/derived field,2,no,no,no,shadow_policy_blocker_reason,
operator_audit,shadow_policy_should_publish_flag,technical/derived field,2,no,no,no,shadow_policy_should_publish_flag,
operator_audit,shadow_policy_should_affect_final_order_flag,technical/derived field,2,no,no,no,shadow_policy_should_affect_final_order_flag,
operator_audit,order_reconciliation_status,technical/derived field,2,no,no,no,order_reconciliation_status,
operator_audit,order_reconciliation_reason,technical/derived field,2,no,no,no,order_reconciliation_reason,
operator_audit,decision_reason,technical/derived field,2,no,no,no,decision_reason,
operator_audit,recommended_order_units,Model recommended order before final policy,5,no,no,no,recommended_order_units,
operator_audit,model_confidence_percent,Model confidence 0-100,4,no,no,no,model_confidence_percent,
operator_audit,capital_at_risk_adjusted_dollars,Capital exposure if order placed,4,no,no,no,capital_at_risk_adjusted_dollars,
operator_audit,retail_risk_reward_ratio,technical/derived field,2,no,no,no,retail_risk_reward_ratio,
operator_audit,discount_percent,Promotion discount percentage,2,no,no,no,discount_percent,
operator_audit,stockout_probability_percent,technical/derived field,2,no,no,no,stockout_probability_percent,
operator_audit,projected_on_hand_at_promo_start,technical/derived field,2,no,no,no,projected_on_hand_at_promo_start,
operator_audit,minimum_launch_stock_units,technical/derived field,2,no,no,no,minimum_launch_stock_units,
operator_audit,floor_units_required,Minimum floor stock required,2,no,no,no,floor_units_required,
operator_audit,current_soh,Current stock on hand at advice time,5,no,no,no,current_soh,
operator_audit,promo_allocated_units,technical/derived field,2,no,no,no,promo_allocated_units,
operator_audit,expected_promo_demand,Expected demand during promotion window,5,no,no,no,expected_promo_demand,
operator_audit,available_to_sell_before_floor,technical/derived field,2,no,no,no,available_to_sell_before_floor,
operator_audit,target_stock_day_one_units,technical/derived field,2,no,no,no,target_stock_day_one_units,
operator_audit,projected_stock_gap_units,Gap to target stock position,5,no,no,no,projected_stock_gap_units,
operator_audit,days_to_promo_start,technical/derived field,2,no,no,no,days_to_promo_start,
operator_audit,prediction_date,technical/derived field,2,no,no,no,prediction_date,
operator_audit,lead_up_demand_units,Pre-promo lead-up demand,4,no,no,no,lead_up_demand_units,
operator_audit,expected_units_before_promo_start,Demand from advice date to promo start,2,no,no,no,expected_units_before_promo_start,
operator_audit,expected_units_first_7_days,Demand in first 7 days of promo,2,no,no,no,expected_units_first_7_days,
operator_audit,promotion_period_days,Length of promotion in days,2,no,no,no,promotion_period_days,
operator_audit,expected_units_per_period,Total expected units for promo period,2,no,no,no,expected_units_per_period,
operator_audit,expected_units_per_day,Average daily demand in promo,2,no,no,no,expected_units_per_day,
operator_audit,projected_promotional_units,technical/derived field,2,no,no,no,projected_promotional_units,
operator_audit,expected_units_total_promo,technical/derived field,2,no,no,no,expected_units_total_promo,
operator_audit,order_timing_summary,technical/derived field,2,no,no,no,order_timing_summary,
operator_audit,forecast_trust_summary,technical/derived field,2,no,no,no,forecast_trust_summary,
operator_audit,model_reason_summary,technical/derived field,2,no,no,no,model_reason_summary,
operator_audit,store_number,technical/derived field,2,no,no,no,store_number,
operator_audit,promotion_id,technical/derived field,2,no,no,no,promotion_id,
operator_audit,promotion_name,technical/derived field,2,no,no,no,promotion_name,
operator_audit,promotion_start_date,technical/derived field,2,no,no,no,promotion_start_date,
operator_audit,promotion_end_date,technical/derived field,2,no,no,no,promotion_end_date,
operator_audit,minimum_safe_stock_day_one_units,technical/derived field,2,no,no,no,minimum_safe_stock_day_one_units,
operator_audit,lead_days_to_promo_start,technical/derived field,2,no,no,no,lead_days_to_promo_start,
operator_audit,days_until_action,technical/derived field,2,no,no,no,days_until_action,
operator_audit,buy_now_flag,technical/derived field,2,no,no,no,buy_now_flag,
operator_audit,watch_flag,technical/derived field,2,no,no,no,watch_flag,
operator_audit,do_not_buy_flag,technical/derived field,2,no,no,no,do_not_buy_flag,
operator_audit,current_soh_units,technical/derived field,5,no,no,no,current_soh_units,
operator_audit,on_order_units,technical/derived field,5,no,no,no,on_order_units,
operator_audit,effective_available_units,technical/derived field,2,no,no,no,effective_available_units,
operator_audit,gap_to_day_one_target_units,technical/derived field,2,no,no,no,gap_to_day_one_target_units,
operator_audit,demand_evidence_class,technical/derived field,2,no,no,no,demand_evidence_class,
operator_audit,confidence_band,technical/derived field,2,no,no,no,confidence_band,
operator_audit,historical_promo_response_summary,technical/derived field,2,no,no,no,historical_promo_response_summary,
operator_audit,historical_units_same_discount_avg,technical/derived field,2,no,no,no,historical_units_same_discount_avg,
operator_audit,historical_units_same_or_better_discount_avg,technical/derived field,2,no,no,no,historical_units_same_or_better_discount_avg,
operator_audit,historical_promo_events_same_discount,technical/derived field,2,no,no,no,historical_promo_events_same_discount,
operator_audit,historical_promo_events_same_or_better_discount,technical/derived field,2,no,no,no,historical_promo_events_same_or_better_discount,
operator_audit,discount_response_summary,technical/derived field,2,no,no,no,discount_response_summary,
operator_audit,forecast_trust_band,technical/derived field,2,no,no,no,forecast_trust_band,
operator_audit,promotion_backtest_within_10pct_flag,technical/derived field,2,no,no,no,promotion_backtest_within_10pct_flag,
operator_audit,promotion_backtest_mean_absolute_pct_error,technical/derived field,2,no,no,no,promotion_backtest_mean_absolute_pct_error,
operator_audit,promotion_backtest_bias_class,technical/derived field,2,no,no,no,promotion_backtest_bias_class,
operator_audit,promotion_backtest_comparable_event_count,technical/derived field,2,no,no,no,promotion_backtest_comparable_event_count,
operator_audit,stockout_risk_reason,technical/derived field,2,no,no,no,stockout_risk_reason,
operator_audit,days_of_cover_to_promo_start,technical/derived field,2,no,no,no,days_of_cover_to_promo_start,
operator_audit,days_of_cover_first_7_days,technical/derived field,2,no,no,no,days_of_cover_first_7_days,
operator_audit,projected_launch_cover_units,technical/derived field,2,no,no,no,projected_launch_cover_units,
operator_audit,stockout_risk_band,technical/derived field,2,no,no,no,stockout_risk_band,
operator_audit,overstock_risk_band,technical/derived field,2,no,no,no,overstock_risk_band,
operator_audit,estimated_leftover_units,technical/derived field,2,no,no,no,estimated_leftover_units,
operator_audit,estimated_leftover_cost_dollars,technical/derived field,2,no,no,no,estimated_leftover_cost_dollars,
operator_audit,target_end_stock_units,technical/derived field,2,no,no,no,target_end_stock_units,
operator_audit,target_end_days_cover,technical/derived field,2,no,no,no,target_end_days_cover,
operator_audit,cashflow_runoff_status,technical/derived field,2,no,no,no,cashflow_runoff_status,
operator_audit,trust_floor_status,technical/derived field,2,no,no,no,trust_floor_status,
operator_audit,units_needed_for_trust_floor,technical/derived field,2,no,no,no,units_needed_for_trust_floor,
operator_audit,units_needed_for_high_demand_cover,technical/derived field,2,no,no,no,units_needed_for_high_demand_cover,
operator_audit,units_above_trust_target,technical/derived field,2,no,no,no,units_above_trust_target,
operator_audit,capital_tied_above_trust_target,technical/derived field,2,no,no,no,capital_tied_above_trust_target,
operator_audit,expected_gp_on_trust_floor_units,technical/derived field,2,no,no,no,expected_gp_on_trust_floor_units,
operator_audit,expected_gp_on_speculative_units,technical/derived field,2,no,no,no,expected_gp_on_speculative_units,
operator_audit,risk_adjusted_value_of_speculative_units,technical/derived field,2,no,no,no,risk_adjusted_value_of_speculative_units,
operator_audit,speculative_capital_above_floor_units,technical/derived field,2,no,no,no,speculative_capital_above_floor_units,
operator_audit,speculative_capital_above_floor_value,technical/derived field,2,no,no,no,speculative_capital_above_floor_value,
operator_audit,SOH_at_advice_time,technical/derived field,2,no,no,no,SOH_at_advice_time,
operator_audit,on_order_at_advice_time,Units already on order,2,no,no,no,on_order_at_advice_time,
operator_audit,projected_SOH_at_promo_start,Projected SOH at promo start before order,2,no,no,no,projected_SOH_at_promo_start,
operator_audit,target_SOH_at_promo_start,Target SOH at promo day one,5,no,no,no,target_SOH_at_promo_start,
operator_audit,recommended_order_value,technical/derived field,2,no,no,no,recommended_order_value,
operator_audit,weeks_of_cover_entering_promo,technical/derived field,2,no,no,no,weeks_of_cover_entering_promo,
operator_audit,end_of_promo_residual_risk,technical/derived field,2,no,no,no,end_of_promo_residual_risk,
operator_audit,SKU_MAE,technical/derived field,2,no,no,no,SKU_MAE,
operator_audit,SKU_MSE,technical/derived field,2,no,no,no,SKU_MSE,
operator_audit,SKU_bias,technical/derived field,2,no,no,no,SKU_bias,
operator_audit,data_quality_flag,technical/derived field,2,no,no,no,data_quality_flag,
feature_inspection,priority_rank,SKU priority within promotion,1,no,yes,no,priority_rank,
feature_inspection,priority_band,Priority tier label,1,no,yes,no,priority_band,
feature_inspection,sku_number,Product SKU identifier,1,no,yes,no,sku_number,
feature_inspection,sku_description,Product description,1,no,yes,no,sku_description,
feature_inspection,operator_decision,Human/operator decision label,1,no,yes,no,operator_decision,
feature_inspection,operator_action,Recommended store action BUY/HOLD/REVIEW,1,no,yes,no,operator_action,
feature_inspection,order_units,Final recommended order quantity,5,no,yes,no,order_units,
feature_inspection,reason_short,Compressed action reason,1,no,yes,no,reason_short,
feature_inspection,risk_flag,technical/derived field,1,no,yes,no,risk_flag,
feature_inspection,review_flag,technical/derived field,1,no,yes,no,review_flag,
feature_inspection,audit_notes,technical/derived field,1,no,yes,no,audit_notes,
feature_inspection,store_action_label,technical/derived field,1,no,yes,no,store_action_label,
feature_inspection,store_action_label_v2,technical/derived field,1,no,yes,no,store_action_label_v2,
feature_inspection,store_action_reason,technical/derived field,1,no,yes,no,store_action_reason,
feature_inspection,store_action,technical/derived field,1,no,yes,no,store_action,
feature_inspection,operator_status,technical/derived field,1,no,yes,no,operator_status,
feature_inspection,recommended_action,technical/derived field,1,no,yes,no,recommended_action,
feature_inspection,execution_readiness_status,technical/derived field,1,no,yes,no,execution_readiness_status,
feature_inspection,demand_evidence_label,technical/derived field,2,no,yes,no,demand_evidence_label,
feature_inspection,availability_risk_label,technical/derived field,1,no,yes,no,availability_risk_label,
feature_inspection,capital_drag_label,technical/derived field,2,no,yes,no,capital_drag_label,
feature_inspection,primary_review_reason,technical/derived field,1,no,yes,no,primary_review_reason,
feature_inspection,blocker_reason,technical/derived field,1,no,yes,no,blocker_reason,
feature_inspection,human_review_required_flag,technical/derived field,1,no,yes,no,human_review_required_flag,
feature_inspection,low_nonzero_value_relief_delta,technical/derived field,1,no,yes,no,low_nonzero_value_relief_delta,
feature_inspection,raw_model_order_units,technical/derived field,5,no,yes,no,raw_model_order_units,
feature_inspection,provisional_review_order_units,technical/derived field,5,no,yes,no,provisional_review_order_units,
feature_inspection,final_store_order_units,technical/derived field,5,no,yes,no,final_store_order_units,
feature_inspection,raw_model_order_value,technical/derived field,2,no,yes,no,raw_model_order_value,
feature_inspection,provisional_review_order_value,technical/derived field,2,no,yes,no,provisional_review_order_value,
feature_inspection,final_store_order_value,technical/derived field,2,no,yes,no,final_store_order_value,
feature_inspection,low_soh_policy_version,technical/derived field,2,no,yes,no,low_soh_policy_version,
feature_inspection,low_soh_policy_candidate_flag,technical/derived field,2,no,yes,no,low_soh_policy_candidate_flag,
feature_inspection,low_soh_policy_production_eligible_flag,technical/derived field,2,no,yes,no,low_soh_policy_production_eligible_flag,
feature_inspection,low_soh_policy_final_order_units,technical/derived field,5,no,yes,no,low_soh_policy_final_order_units,
feature_inspection,low_soh_policy_shadow_order_units,technical/derived field,5,no,yes,no,low_soh_policy_shadow_order_units,
feature_inspection,low_soh_policy_capital_at_risk,technical/derived field,2,no,yes,no,low_soh_policy_capital_at_risk,
feature_inspection,low_soh_policy_reason,technical/derived field,2,no,yes,no,low_soh_policy_reason,
feature_inspection,low_soh_policy_guardrail_status,technical/derived field,2,no,yes,no,low_soh_policy_guardrail_status,
feature_inspection,low_soh_policy_blocker_reason,technical/derived field,2,no,yes,no,low_soh_policy_blocker_reason,
feature_inspection,low_soh_policy_decision_source,technical/derived field,2,no,yes,no,low_soh_policy_decision_source,
feature_inspection,shadow_policy_name,technical/derived field,1,no,yes,no,shadow_policy_name,
feature_inspection,shadow_policy_version,technical/derived field,1,no,yes,no,shadow_policy_version,
feature_inspection,shadow_policy_candidate_flag,technical/derived field,1,no,yes,no,shadow_policy_candidate_flag,
feature_inspection,shadow_policy_segment,technical/derived field,1,no,yes,no,shadow_policy_segment,
feature_inspection,shadow_policy_order_units,technical/derived field,5,no,yes,no,shadow_policy_order_units,
feature_inspection,shadow_policy_capital_at_risk,technical/derived field,2,no,yes,no,shadow_policy_capital_at_risk,
feature_inspection,shadow_policy_expected_reason,technical/derived field,1,no,yes,no,shadow_policy_expected_reason,
feature_inspection,shadow_policy_guardrail_status,technical/derived field,1,no,yes,no,shadow_policy_guardrail_status,
feature_inspection,shadow_policy_blocker_reason,technical/derived field,1,no,yes,no,shadow_policy_blocker_reason,
feature_inspection,shadow_policy_should_publish_flag,technical/derived field,1,no,yes,no,shadow_policy_should_publish_flag,
feature_inspection,shadow_policy_should_affect_final_order_flag,technical/derived field,2,no,yes,no,shadow_policy_should_affect_final_order_flag,
feature_inspection,order_reconciliation_status,technical/derived field,2,no,yes,no,order_reconciliation_status,
feature_inspection,order_reconciliation_reason,technical/derived field,2,no,yes,no,order_reconciliation_reason,
feature_inspection,decision_reason,technical/derived field,1,no,yes,no,decision_reason,
feature_inspection,recommended_order_units,Model recommended order before final policy,5,no,yes,no,recommended_order_units,
feature_inspection,model_confidence_percent,Model confidence 0-100,2,no,yes,no,model_confidence_percent,
feature_inspection,capital_at_risk_adjusted_dollars,Capital exposure if order placed,2,no,yes,no,capital_at_risk_adjusted_dollars,
feature_inspection,retail_risk_reward_ratio,technical/derived field,1,no,yes,no,retail_risk_reward_ratio,
feature_inspection,discount_percent,Promotion discount percentage,2,no,yes,no,discount_percent,
feature_inspection,stockout_probability_percent,technical/derived field,1,no,yes,no,stockout_probability_percent,
feature_inspection,projected_on_hand_at_promo_start,technical/derived field,1,no,yes,no,projected_on_hand_at_promo_start,
feature_inspection,minimum_launch_stock_units,technical/derived field,1,no,yes,no,minimum_launch_stock_units,
feature_inspection,floor_units_required,Minimum floor stock required,1,no,yes,no,floor_units_required,
feature_inspection,current_soh,Current stock on hand at advice time,5,no,yes,no,current_soh,
feature_inspection,promo_allocated_units,technical/derived field,1,no,yes,no,promo_allocated_units,
feature_inspection,expected_promo_demand,Expected demand during promotion window,5,no,yes,no,expected_promo_demand,
feature_inspection,available_to_sell_before_floor,technical/derived field,1,no,yes,no,available_to_sell_before_floor,
feature_inspection,target_stock_day_one_units,technical/derived field,1,no,yes,no,target_stock_day_one_units,
feature_inspection,projected_stock_gap_units,Gap to target stock position,5,no,yes,no,projected_stock_gap_units,
feature_inspection,days_to_promo_start,technical/derived field,1,no,yes,no,days_to_promo_start,
feature_inspection,prediction_date,technical/derived field,1,no,yes,no,prediction_date,
feature_inspection,lead_up_demand_units,Pre-promo lead-up demand,2,no,yes,no,lead_up_demand_units,
feature_inspection,expected_units_before_promo_start,Demand from advice date to promo start,1,no,yes,no,expected_units_before_promo_start,
feature_inspection,expected_units_first_7_days,Demand in first 7 days of promo,1,no,yes,no,expected_units_first_7_days,
feature_inspection,promotion_period_days,Length of promotion in days,1,no,yes,no,promotion_period_days,
feature_inspection,expected_units_per_period,Total expected units for promo period,1,no,yes,no,expected_units_per_period,
feature_inspection,expected_units_per_day,Average daily demand in promo,1,no,yes,no,expected_units_per_day,
feature_inspection,projected_promotional_units,technical/derived field,1,no,yes,no,projected_promotional_units,
feature_inspection,expected_units_total_promo,technical/derived field,1,no,yes,no,expected_units_total_promo,
feature_inspection,order_timing_summary,technical/derived field,2,no,yes,no,order_timing_summary,
feature_inspection,forecast_trust_summary,technical/derived field,1,no,yes,no,forecast_trust_summary,
feature_inspection,model_reason_summary,technical/derived field,1,no,yes,no,model_reason_summary,
feature_inspection,store_number,technical/derived field,1,no,yes,no,store_number,
feature_inspection,promotion_id,technical/derived field,1,no,yes,no,promotion_id,
feature_inspection,promotion_name,technical/derived field,1,no,yes,no,promotion_name,
feature_inspection,promotion_start_date,technical/derived field,1,no,yes,no,promotion_start_date,
feature_inspection,promotion_end_date,technical/derived field,1,no,yes,no,promotion_end_date,
feature_inspection,minimum_safe_stock_day_one_units,technical/derived field,1,no,yes,no,minimum_safe_stock_day_one_units,
feature_inspection,lead_days_to_promo_start,technical/derived field,1,no,yes,no,lead_days_to_promo_start,
feature_inspection,days_until_action,technical/derived field,1,no,yes,no,days_until_action,
feature_inspection,buy_now_flag,technical/derived field,1,no,yes,no,buy_now_flag,
feature_inspection,watch_flag,technical/derived field,1,no,yes,no,watch_flag,
feature_inspection,do_not_buy_flag,technical/derived field,1,no,yes,no,do_not_buy_flag,
feature_inspection,current_soh_units,technical/derived field,5,no,yes,no,current_soh_units,
feature_inspection,on_order_units,technical/derived field,5,no,yes,no,on_order_units,
feature_inspection,effective_available_units,technical/derived field,1,no,yes,no,effective_available_units,
feature_inspection,gap_to_day_one_target_units,technical/derived field,1,no,yes,no,gap_to_day_one_target_units,
feature_inspection,demand_evidence_class,technical/derived field,2,no,yes,no,demand_evidence_class,
feature_inspection,confidence_band,technical/derived field,2,no,yes,no,confidence_band,
feature_inspection,historical_promo_response_summary,technical/derived field,1,no,yes,no,historical_promo_response_summary,
feature_inspection,historical_units_same_discount_avg,technical/derived field,2,no,yes,no,historical_units_same_discount_avg,
feature_inspection,historical_units_same_or_better_discount_avg,technical/derived field,2,no,yes,no,historical_units_same_or_better_discount_avg,
feature_inspection,historical_promo_events_same_discount,technical/derived field,2,no,yes,no,historical_promo_events_same_discount,
feature_inspection,historical_promo_events_same_or_better_discount,technical/derived field,2,no,yes,no,historical_promo_events_same_or_better_discount,
feature_inspection,discount_response_summary,technical/derived field,2,no,yes,no,discount_response_summary,
feature_inspection,forecast_trust_band,technical/derived field,1,no,yes,no,forecast_trust_band,
feature_inspection,promotion_backtest_within_10pct_flag,technical/derived field,1,no,yes,no,promotion_backtest_within_10pct_flag,
feature_inspection,promotion_backtest_mean_absolute_pct_error,technical/derived field,1,no,yes,no,promotion_backtest_mean_absolute_pct_error,
