runtime_folder,output_file,promotion_date,promotion_name,future_or_completed,store_facing_yes_no,useful_fields,problems,recommended_destination
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-05-21/772_2026-05-21_allocation-report-wk47-48-winter-part-1_true-zero-demand-rows.csv,2026-05-21,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-05-26/772_2026-05-26_allocation-report-new-line-26-wk47.csv,2026-05-26,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-05-26/772_2026-05-26_allocation-report-new-line-26-wk47_artificial-collapse-rows.csv,2026-05-26,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-05-26/772_2026-05-26_allocation-report-new-line-26-wk47_cold-start-new-line-rows.csv,2026-05-26,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-05-26/772_2026-05-26_allocation-report-new-line-26-wk47_diagnostics.json,2026-05-26,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-05-26/772_2026-05-26_allocation-report-new-line-26-wk47_feature-inspection.csv,2026-05-26,,completed,yes,"soh,demand,gap,order",too technical for store primary workflow,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-05-26/772_2026-05-26_allocation-report-new-line-26-wk47_manager-summary.csv,2026-05-26,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-05-26/772_2026-05-26_allocation-report-new-line-26-wk47_operator-audit.csv,2026-05-26,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-05-26/772_2026-05-26_allocation-report-new-line-26-wk47_pos-order-upload.csv,2026-05-26,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-05-26/772_2026-05-26_allocation-report-new-line-26-wk47_prediction-manifest.json,2026-05-26,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-05-26/772_2026-05-26_allocation-report-new-line-26-wk47_promotion-summary.csv,2026-05-26,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-05-26/772_2026-05-26_allocation-report-new-line-26-wk47_publish-exclusion-reasons.csv,2026-05-26,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-05-26/772_2026-05-26_allocation-report-new-line-26-wk47_reconciliation.csv,2026-05-26,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-05-26/772_2026-05-26_allocation-report-new-line-26-wk47_rows-by-demand-evidence-class.csv,2026-05-26,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-05-26/772_2026-05-26_allocation-report-new-line-26-wk47_store-prediction-review.csv,2026-05-26,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-05-26/772_2026-05-26_allocation-report-new-line-26-wk47_true-zero-demand-rows.csv,2026-05-26,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-02/772_2026-06-02_allocation-report-new-line-26-wk48.csv,2026-06-02,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-02/772_2026-06-02_allocation-report-new-line-26-wk48_artificial-collapse-rows.csv,2026-06-02,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-02/772_2026-06-02_allocation-report-new-line-26-wk48_cold-start-new-line-rows.csv,2026-06-02,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-02/772_2026-06-02_allocation-report-new-line-26-wk48_diagnostics.json,2026-06-02,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-02/772_2026-06-02_allocation-report-new-line-26-wk48_feature-inspection.csv,2026-06-02,,completed,yes,"soh,demand,gap,order",too technical for store primary workflow,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-02/772_2026-06-02_allocation-report-new-line-26-wk48_manager-summary.csv,2026-06-02,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-02/772_2026-06-02_allocation-report-new-line-26-wk48_operator-audit.csv,2026-06-02,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-02/772_2026-06-02_allocation-report-new-line-26-wk48_pos-order-upload.csv,2026-06-02,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-02/772_2026-06-02_allocation-report-new-line-26-wk48_prediction-manifest.json,2026-06-02,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-02/772_2026-06-02_allocation-report-new-line-26-wk48_promotion-summary.csv,2026-06-02,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-02/772_2026-06-02_allocation-report-new-line-26-wk48_publish-exclusion-reasons.csv,2026-06-02,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-02/772_2026-06-02_allocation-report-new-line-26-wk48_reconciliation.csv,2026-06-02,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-02/772_2026-06-02_allocation-report-new-line-26-wk48_rows-by-demand-evidence-class.csv,2026-06-02,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-02/772_2026-06-02_allocation-report-new-line-26-wk48_store-prediction-review.csv,2026-06-02,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-02/772_2026-06-02_allocation-report-new-line-26-wk48_true-zero-demand-rows.csv,2026-06-02,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-04/772_2026-06-04_allocation-report-wk49-50-winter-part-2-major-vitamin.csv,2026-06-04,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-04/772_2026-06-04_allocation-report-wk49-50-winter-part-2-major-vitamin_artificial-collapse-rows.csv,2026-06-04,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-04/772_2026-06-04_allocation-report-wk49-50-winter-part-2-major-vitamin_cold-start-new-line-rows.csv,2026-06-04,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-04/772_2026-06-04_allocation-report-wk49-50-winter-part-2-major-vitamin_diagnostics.json,2026-06-04,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-04/772_2026-06-04_allocation-report-wk49-50-winter-part-2-major-vitamin_feature-inspection.csv,2026-06-04,,completed,yes,"soh,demand,gap,order",too technical for store primary workflow,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-04/772_2026-06-04_allocation-report-wk49-50-winter-part-2-major-vitamin_manager-summary.csv,2026-06-04,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-04/772_2026-06-04_allocation-report-wk49-50-winter-part-2-major-vitamin_operator-audit.csv,2026-06-04,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-04/772_2026-06-04_allocation-report-wk49-50-winter-part-2-major-vitamin_pos-order-upload.csv,2026-06-04,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-04/772_2026-06-04_allocation-report-wk49-50-winter-part-2-major-vitamin_prediction-manifest.json,2026-06-04,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-04/772_2026-06-04_allocation-report-wk49-50-winter-part-2-major-vitamin_promotion-summary.csv,2026-06-04,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-04/772_2026-06-04_allocation-report-wk49-50-winter-part-2-major-vitamin_publish-exclusion-reasons.csv,2026-06-04,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-04/772_2026-06-04_allocation-report-wk49-50-winter-part-2-major-vitamin_reconciliation.csv,2026-06-04,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-04/772_2026-06-04_allocation-report-wk49-50-winter-part-2-major-vitamin_rows-by-demand-evidence-class.csv,2026-06-04,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-04/772_2026-06-04_allocation-report-wk49-50-winter-part-2-major-vitamin_store-prediction-review.csv,2026-06-04,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-04/772_2026-06-04_allocation-report-wk49-50-winter-part-2-major-vitamin_true-zero-demand-rows.csv,2026-06-04,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-09/772_2026-06-09_allocation-report-new-line-26-wk49.csv,2026-06-09,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-09/772_2026-06-09_allocation-report-new-line-26-wk49_artificial-collapse-rows.csv,2026-06-09,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-09/772_2026-06-09_allocation-report-new-line-26-wk49_cold-start-new-line-rows.csv,2026-06-09,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-09/772_2026-06-09_allocation-report-new-line-26-wk49_diagnostics.json,2026-06-09,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-09/772_2026-06-09_allocation-report-new-line-26-wk49_feature-inspection.csv,2026-06-09,,completed,yes,"soh,demand,gap,order",too technical for store primary workflow,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-09/772_2026-06-09_allocation-report-new-line-26-wk49_manager-summary.csv,2026-06-09,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-09/772_2026-06-09_allocation-report-new-line-26-wk49_operator-audit.csv,2026-06-09,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-09/772_2026-06-09_allocation-report-new-line-26-wk49_pos-order-upload.csv,2026-06-09,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-09/772_2026-06-09_allocation-report-new-line-26-wk49_prediction-manifest.json,2026-06-09,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-09/772_2026-06-09_allocation-report-new-line-26-wk49_promotion-summary.csv,2026-06-09,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-09/772_2026-06-09_allocation-report-new-line-26-wk49_publish-exclusion-reasons.csv,2026-06-09,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-09/772_2026-06-09_allocation-report-new-line-26-wk49_reconciliation.csv,2026-06-09,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-09/772_2026-06-09_allocation-report-new-line-26-wk49_rows-by-demand-evidence-class.csv,2026-06-09,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-09/772_2026-06-09_allocation-report-new-line-26-wk49_store-prediction-review.csv,2026-06-09,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-09/772_2026-06-09_allocation-report-new-line-26-wk49_true-zero-demand-rows.csv,2026-06-09,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-18/772_2026-06-18_allocation-report-wk51-52-eofy-clear-camp-haircare.csv,2026-06-18,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-18/772_2026-06-18_allocation-report-wk51-52-eofy-clear-camp-haircare_artificial-collapse-rows.csv,2026-06-18,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-18/772_2026-06-18_allocation-report-wk51-52-eofy-clear-camp-haircare_cold-start-new-line-rows.csv,2026-06-18,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-18/772_2026-06-18_allocation-report-wk51-52-eofy-clear-camp-haircare_diagnostics.json,2026-06-18,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-18/772_2026-06-18_allocation-report-wk51-52-eofy-clear-camp-haircare_feature-inspection.csv,2026-06-18,,completed,yes,"soh,demand,gap,order",too technical for store primary workflow,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-18/772_2026-06-18_allocation-report-wk51-52-eofy-clear-camp-haircare_manager-summary.csv,2026-06-18,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-18/772_2026-06-18_allocation-report-wk51-52-eofy-clear-camp-haircare_operator-audit.csv,2026-06-18,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-18/772_2026-06-18_allocation-report-wk51-52-eofy-clear-camp-haircare_pos-order-upload.csv,2026-06-18,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-18/772_2026-06-18_allocation-report-wk51-52-eofy-clear-camp-haircare_prediction-manifest.json,2026-06-18,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-18/772_2026-06-18_allocation-report-wk51-52-eofy-clear-camp-haircare_promotion-summary.csv,2026-06-18,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-18/772_2026-06-18_allocation-report-wk51-52-eofy-clear-camp-haircare_publish-exclusion-reasons.csv,2026-06-18,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-18/772_2026-06-18_allocation-report-wk51-52-eofy-clear-camp-haircare_reconciliation.csv,2026-06-18,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-18/772_2026-06-18_allocation-report-wk51-52-eofy-clear-camp-haircare_rows-by-demand-evidence-class.csv,2026-06-18,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-18/772_2026-06-18_allocation-report-wk51-52-eofy-clear-camp-haircare_store-prediction-review.csv,2026-06-18,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-06-18/772_2026-06-18_allocation-report-wk51-52-eofy-clear-camp-haircare_true-zero-demand-rows.csv,2026-06-18,,completed,yes,"soh,demand,gap,order",,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-07-02/772_2026-07-02_allocation-report-wk01-03-women-s-health-sisterhood.csv,2026-07-02,,future,yes,"soh,demand,gap,order",,future/order_planning_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-07-02/772_2026-07-02_allocation-report-wk01-03-women-s-health-sisterhood_feature-inspection.csv,2026-07-02,,future,yes,"soh,demand,gap,order",too technical for store primary workflow,future/order_planning_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-07-02/772_2026-07-02_allocation-report-wk01-03-women-s-health-sisterhood_manager-summary.csv,2026-07-02,,future,yes,"soh,demand,gap,order",,future/order_planning_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-07-02/772_2026-07-02_allocation-report-wk01-03-women-s-health-sisterhood_operator-audit.csv,2026-07-02,,future,yes,"soh,demand,gap,order",,future/order_planning_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-07-07/772_2026-07-07_allocation-report-op02-10-member-tuesday.csv,2026-07-07,,future,yes,"soh,demand,gap,order",,future/order_planning_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-07-07/772_2026-07-07_allocation-report-op02-10-member-tuesday_feature-inspection.csv,2026-07-07,,future,yes,"soh,demand,gap,order",too technical for store primary workflow,future/order_planning_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-07-07/772_2026-07-07_allocation-report-op02-10-member-tuesday_manager-summary.csv,2026-07-07,,future,yes,"soh,demand,gap,order",,future/order_planning_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-07-07/772_2026-07-07_allocation-report-op02-10-member-tuesday_operator-audit.csv,2026-07-07,,future,yes,"soh,demand,gap,order",,future/order_planning_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-07-22/772_2026-07-22_allocation-report-op06-lipstick-day-sale.csv,2026-07-22,,future,yes,"soh,demand,gap,order",,future/order_planning_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-07-22/772_2026-07-22_allocation-report-op06-lipstick-day-sale_feature-inspection.csv,2026-07-22,,future,yes,"soh,demand,gap,order",too technical for store primary workflow,future/order_planning_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-07-22/772_2026-07-22_allocation-report-op06-lipstick-day-sale_manager-summary.csv,2026-07-22,,future,yes,"soh,demand,gap,order",,future/order_planning_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-07-22/772_2026-07-22_allocation-report-op06-lipstick-day-sale_operator-audit.csv,2026-07-22,,future,yes,"soh,demand,gap,order",,future/order_planning_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-07-23/772_2026-07-23_allocation-report-se01-skincare-sales-event.csv,2026-07-23,,future,yes,"soh,demand,gap,order",,future/order_planning_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-07-23/772_2026-07-23_allocation-report-se01-skincare-sales-event_feature-inspection.csv,2026-07-23,,future,yes,"soh,demand,gap,order",too technical for store primary workflow,future/order_planning_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-07-23/772_2026-07-23_allocation-report-se01-skincare-sales-event_manager-summary.csv,2026-07-23,,future,yes,"soh,demand,gap,order",,future/order_planning_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-07-23/772_2026-07-23_allocation-report-se01-skincare-sales-event_operator-audit.csv,2026-07-23,,future,yes,"soh,demand,gap,order",,future/order_planning_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-07-24/772_2026-07-24_allocation-report-op07-1-2-price-friday.csv,2026-07-24,,future,yes,"soh,demand,gap,order",,future/order_planning_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-07-24/772_2026-07-24_allocation-report-op07-1-2-price-friday_feature-inspection.csv,2026-07-24,,future,yes,"soh,demand,gap,order",too technical for store primary workflow,future/order_planning_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-07-24/772_2026-07-24_allocation-report-op07-1-2-price-friday_manager-summary.csv,2026-07-24,,future,yes,"soh,demand,gap,order",,future/order_planning_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,2026-07-24/772_2026-07-24_allocation-report-op07-1-2-price-friday_operator-audit.csv,2026-07-24,,future,yes,"soh,demand,gap,order",,future/order_planning_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,README_SHADOW_REVIEW_LOCATION.md,,,unknown,no,audit/diagnostic,,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,shadow_review_20260622_phase4b16/ACTION_CAP_AUDIT_SHADOW.csv,,,unknown,no,audit/diagnostic,,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,shadow_review_20260622_phase4b16/ADDED_BUYS_REVIEW_SHADOW.csv,,,unknown,no,audit/diagnostic,,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,shadow_review_20260622_phase4b16/MANAGER_SUMMARY_SHADOW.csv,,,unknown,no,audit/diagnostic,,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,shadow_review_20260622_phase4b16/OPERATOR_DECISION_SHEET_SHADOW.csv,,,unknown,no,audit/diagnostic,,completed/performance_review_pack
/Users/paulmorison/promotions_runtime_governed/promotions/priceline/772/prediction,shadow_review_20260622_phase4b16/README_SHADOW_NOT_PRODUCTION.md,,,unknown,no,audit/diagnostic,,completed/performance_review_pack
